date,log_gdp,nber,bn_permanent,bn_transitory,hp_permanent,hp_transitory
1947-01-01,7.68830921669201,0,,,7.66300190311048,0.0253073135815267
1947-04-01,7.68565345044952,0,7.67983102882499,0.00582242162453017,7.67351193488628,0.0121415155632398
1947-07-01,7.68360255630446,0,7.6781186062589,0.00548395004556213,7.68403778373306,-0.000435227428604357
1947-10-01,7.69914107456408,0,7.70349972796316,-0.00435865339908226,7.69460285516905,0.00453821939502586
1948-01-01,7.71408917048549,0,7.71811743803619,-0.00402826755070063,7.70523028269533,0.00885888779016408
1948-04-01,7.73047791274611,0,7.73531233062717,-0.00483441788105754,7.71594603620008,0.0145318765460338
1948-07-01,7.73620665482296,0,7.73507599825385,0.0011306565691136,7.72678162237637,0.00942503244658699
1948-10-01,7.73733887848866,0,7.73363612303949,0.0037027554491722,7.73777763034012,-0.000438751851463692
1949-01-01,7.72347710817459,1,7.71138408172609,0.0120930264485022,7.74898053985251,-0.0255034316779197
1949-04-01,7.72007475195648,1,7.71383455690685,0.00624019504962892,7.7604365564548,-0.0403618044983221
1949-07-01,7.73036106963597,1,7.73178072050713,-0.00141965087116436,7.77217594604347,-0.0418148764074964
1949-10-01,7.72194772389508,1,7.71290350210463,0.00904422179044584,7.78420374838716,-0.0622560244920818
1950-01-01,7.76051135900663,0,7.77775430263816,-0.0172429436315316,7.7964988689568,-0.0359875099501661
1950-04-01,7.79056450887842,0,7.80304519386201,-0.0124806849835872,7.80900130320797,-0.0184367943295536
1950-07-01,7.82848693533777,0,7.84537107434618,-0.0168841390084049,7.82162855440258,0.00685838093519386
1950-10-01,7.84745545907986,0,7.8537334593565,-0.00627800027663561,7.83428660280602,0.013168856273837
1951-01-01,7.86094364313009,0,7.86415497983162,-0.00321133670153007,7.84688571517182,0.0140579279582695
1951-04-01,7.87811668475219,0,7.88338997730509,-0.00527329255289644,7.85934438878864,0.0187722959635543
1951-07-01,7.89850726345627,0,7.9055810107849,-0.0070737473286302,7.87158990715011,0.0269173563061553
1951-10-01,7.90069441053258,0,7.8975819643306,0.0031124462019827,7.88356128643488,0.017133124097704
1952-01-01,7.9113071566511,0,7.91290946886447,-0.00160231221336815,7.89521436616923,0.016092790481868
1952-04-01,7.91344786171855,0,7.91030942770834,0.00313843401020808,7.90651569408205,0.00693216763649662
1952-07-01,7.92063428264389,0,7.92031930737926,0.000314975264631201,7.91744187589626,0.00319240674762611
1952-10-01,7.95294604527897,0,7.96669059452662,-0.0137445492476456,7.92797384993956,0.0249721953394122
1953-01-01,7.97136575573779,0,7.97733665357188,-0.00597089783409199,7.93809454979385,0.033271205943942
1953-04-01,7.97906694047776,0,7.97904001440878,2.69260689851336e-05,7.94780251666313,0.0312644238146271
1953-07-01,7.97342589996608,1,7.9659329921349,0.00749290783118273,7.95711708625512,0.0163088137109595
1953-10-01,7.95817297609223,1,7.94530149425793,0.0128714818343045,7.9660771345424,-0.00790415845017023
1954-01-01,7.95338583110228,1,7.94637074224596,0.00701508885632496,7.97473173050613,-0.0213458994038485
