model,estimate,std_error
3,1,2.18544366524679e-17
1,1,2.1077059480249e-17
2,1,2.08633549740482e-17
3,1,3.44657647811972e-17
1,1,6.82180390134487e-17
2,1,1.25289546780128e-17
3,1,1.29594336242558e-17
1,1,5.45725885810026e-17
2,1,1.04078722319304e-17
3,1,3.74590563317404e-17
1,1,1.73818855666959e-17
2,1,5.27473118855037e-17
3,1,5.24817464664823e-17
1,1,3.5700695487096e-17
2,1,2.61145432682464e-17
3,1,4.65201715332419e-17
1,1,4.04204955882354e-17
2,1,6.33894590472874e-17
3,1,7.03741173317993e-17
1,1,2.35598583028365e-17
2,1,6.82736877798311e-17
3,1,1.96879908229197e-16
1,1,3.10155137977517e-17
2,1,9.35593757164451e-17
3,1,1.68872042489303e-16
1,1,1.98743843810762e-17
2,1,4.38470691805743e-17
3,1,5.50476500260999e-17
1,1,8.45882878617153e-18
2,1,1.6860950321523e-17
3,1,2.69276720563205e-17
1,1,4.61309001197281e-17
2,1,6.03386564066605e-18
3,1,6.04692487725209e-18
1,1,3.73565382650254e-17
2,1,1.35763086352359e-17
3,1,1.36036812817821e-17
1,1,7.30641011732884e-17
2,1,2.09785528055332e-17
3,1,2.09442226626549e-17
1,1,7.31578271286655e-17
2,1,4.40613036953156e-17
3,1,4.34615681325175e-17
1,1,7.81787027402825e-18
2,1,2.23362212882364e-17
3,1,4.38529501807659e-17
1,1,2.08435568247775e-17
2,1,5.27893714339319e-18
3,1,1.1844005199689e-17
1,1,6.10928384584893e-17
2,1,1.04661115419469e-17
3,1,1.06057922226324e-17
1,1,1.90355742127647e-17
2,1,2.39040274027405e-17
3,1,2.60903293524511e-17
1,1,4.36890504364083e-17
2,1,2.88635625162343e-17
3,1,4.49915019255991e-17
1,1,1.11571102591417e-17
2,1,4.81139838053068e-17
3,1,8.02334239047892e-17
1,1,8.8440747973962e-18
2,1,3.75905557265004e-17
3,1,1.09769928428382e-16
1,1,6.02235924418583e-17
2,1,7.60365568572965e-17
3,1,1.0532480530218e-16
1,1,1.76236603841471e-17
2,1,1.18383248147567e-17
3,1,1.32897438187759e-17
1,1,5.84790126835123e-17
2,1,1.92467238891025e-17
3,1,2.9127152283472e-17
1,1,4.14600820916209e-17
2,1,6.13989455297185e-18
3,1,6.23313779303841e-18
1,1,2.62189967607696e-17
2,1,3.7017336008383e-17
3,1,6.65462032601666e-17
1,1,7.16988914904572e-17
2,1,7.79486278123144e-17
3,1,1.28792257791153e-16
1,1,4.80896644531446e-17
2,1,6.25370122158723e-17
3,1,1.20341576612967e-16
1,1,1.25201853983181e-17
2,1,2.1318330803844e-17
3,1,4.33502836583614e-17
1,1,5.90238940767866e-17
2,1,3.51728754930533e-17
3,1,3.51359685839546e-17
1,1,2.01389653088883e-17
2,1,9.17783962717892e-18
3,1,1.18773648700475e-17
1,1,4.90366328535184e-17
2,1,2.13603096181195e-17
3,1,2.31027226193164e-17
1,1,4.93719126842155e-17
2,1,1.84508616386964e-17
3,1,1.96341103060548e-17
1,1,6.0347433754677e-17
2,1,2.27969184723495e-17
3,1,2.71401519950665e-17
1,1,2.71259602422442e-17
2,1,1.05908250171392e-16
3,1,1.5070155104443e-16
1,1,6.27211808905714e-17
2,1,2.58951738808748e-17
3,1,2.7117682972218e-17
1,1,1.20170959803729e-17
2,1,4.22082787601276e-17
3,1,5.75644538197956e-17
1,1,2.32701225046193e-17
2,1,4.78259097121125e-18
3,1,1.39643428951315e-17
1,1,4.17084438953993e-17
2,1,1.02977627868644e-17
3,1,1.95899447898232e-17
1,1,2.0066409237576e-17
2,1,2.5044540429265e-17
3,1,3.46032636468181e-17
1,1,9.99365522440905e-18
2,1,1.99576779609867e-17
3,1,1.98712481466567e-17
1,1,4.5760435055281e-17
2,1,1.09012716600162e-16
3,1,1.08947556621048e-16
1,1,5.18033291966643e-18
2,1,8.96137575819044e-18
3,1,1.00086826201832e-17
1,1,3.318139006524e-17
2,1,2.52887346485237e-17
3,1,3.00109056666393e-17
1,1,3.61929906286699e-17
2,1,4.91355006889305e-17
3,1,4.88777884165534e-17
1,1,3.98036032355165e-17
2,1,2.42025690870174e-17
3,1,6.85751958700007e-17
1,1,3.6833377708384e-17
2,1,2.72685586268492e-17
3,1,2.92710721368946e-17
1,1,2.49442904385893e-17
2,1,1.25219304491661e-17
3,1,5.59106745313139e-17
1,1,1.63408165775682e-17
2,1,1.96224292966643e-17
3,1,3.68129489943611e-17
1,1,3.69915505037974e-17
2,1,1.30062829823466e-17
3,1,1.35443757609145e-17
1,1,5.97123391908525e-17
2,1,4.62541024477231e-17
3,1,4.91832316909331e-17
1,1,4.72417665081265e-17
2,1,3.56909818807747e-17
3,1,3.58266483407147e-17
1,1,3.50215061186435e-17
2,1,6.31890732401567e-17
3,1,6.95961680125155e-17
1,1,6.52961068404381e-17
2,1,2.31287129318351e-17
3,1,2.78765134194967e-17
1,1,4.94146688235261e-17
2,1,6.00072595674833e-17
3,1,6.19039105097394e-17
